input_distribution,method,precision,threads,n,n_obs,best,median,mean,std,q25,q75,q05,q95
alternating_sign,openmp,fp64,1.0,1000000,8,0.000721451,0.00085752199999995,0.00096073474999995,0.00025354056734051616,0.000781194999999975,0.001084121499999925,0.000739028699999965,0.0013603733499999349
alternating_sign,openmp,fp64,1.0,1919384,8,0.001567072,0.00162669549999995,0.0016579947499999626,0.00012228938977305138,0.001603350749999925,0.0016412220000000001,0.0015759746000000002,0.001848395399999935
alternating_sign,openmp,fp64,1.0,3684032,8,0.003299867,0.0035078640000000003,0.003673646249999975,0.0004305758399491517,0.003428256749999925,0.003723039249999975,0.0033281837500000002,0.004377502349999965
alternating_sign,openmp,fp64,1.0,7071068,8,0.006209061,0.00743848249999995,0.009731783624999962,0.004054836516222672,0.006676242999999975,0.01361077225,0.006281601649999965,0.015342508149999936
alternating_sign,openmp,fp64,1.0,13572088,8,0.011165197,0.011553585000000002,0.011991544374999987,0.001306476414900126,0.011492031499999975,0.011775420750000001,0.011231873399999965,0.014007722149999999
alternating_sign,openmp,fp64,1.0,26050038,8,0.023117998,0.02583158899999995,0.02678556837499999,0.003497710181055602,0.02442696975,0.02799655275,0.02349811865,0.0323203477
alternating_sign,openmp,fp64,1.0,50000000,8,0.0398013929999999,0.0418556824999999,0.042340207999999935,0.0021640124636274393,0.040866888999999976,0.04362704125,0.0400349637499999,0.04545681679999993
alternating_sign,openmp,fp64,2.0,1000000,8,0.000303596,0.0003308975,0.0003781076249999625,0.00014008732833273665,0.000312858499999975,0.000350414999999925,0.000305264449999965,0.0005990147499999348
alternating_sign,openmp,fp64,2.0,1919384,8,0.0011135819999999,0.0012445490000000002,0.0012571463749999625,0.00011732958925906124,0.001159434749999925,0.001334505249999975,0.001126004549999935,0.001421966149999965
alternating_sign,openmp,fp64,2.0,3684032,8,0.001869472,0.0021656415,0.0026003057499999877,0.0012667646410686017,0.002033747999999975,0.0023346975,0.001879459249999965,0.004650976349999999
alternating_sign,openmp,fp64,2.0,7071068,8,0.003366373,0.0036696990000000002,0.0046881005,0.0026814449806618393,0.003535803,0.00412050625,0.00340414745,0.008901884099999997
alternating_sign,openmp,fp64,2.0,13572088,8,0.0066885929999999,0.010436932999999999,0.011721763749999963,0.005029004482701224,0.008433345499999976,0.013896878749999925,0.0067815659499999,0.01942806505
alternating_sign,openmp,fp64,2.0,26050038,8,0.012796571,0.01335029749999995,0.014249894624999988,0.0018427633803307503,0.0130144415,0.014906178,0.0128428277,0.0172689702
alternating_sign,openmp,fp64,2.0,50000000,8,0.0237556639999999,0.02515938499999995,0.025786530999999963,0.0019123623943893672,0.02453865375,0.026547501499999925,0.023991203499999933,0.0288112354
alternating_sign,openmp,fp64,4.0,1000000,8,0.000253639,0.0002657864999999,0.00029019312499995,8.021155909473014e-05,0.00025659024999992496,0.000267346,0.00025375135,0.0004119459499999349
alternating_sign,openmp,fp64,4.0,1919384,8,0.000409399,0.00058517099999995,0.0005848521249999751,0.0001416192178407762,0.0004665755,0.0006412587500000001,0.00042813345,0.000789215449999935
alternating_sign,openmp,fp64,4.0,3684032,8,0.0010093999999999,0.00126799449999995,0.0015844669999999625,0.0006432567282561889,0.0011115072500000002,0.002087342749999975,0.001011162949999935,0.002520417599999965
alternating_sign,openmp,fp64,4.0,7071068,8,0.002045491,0.00240044299999995,0.0024111427499999625,0.0003041016054271154,0.002292990999999975,0.0024583995,0.002063150949999965,0.0028535315999999346
alternating_sign,openmp,fp64,4.0,13572088,8,0.0042126899999999,0.00481920749999995,0.00785781837499995,0.005824501503453521,0.00441851675,0.0084977102499999,0.004240356099999935,0.017723771049999962
alternating_sign,openmp,fp64,4.0,26050038,8,0.008241029,0.0092826129999999,0.010924627249999925,0.004695712412039843,0.0082897527499999,0.010738973999999901,0.008256141649999965,0.018360894299999958
alternating_sign,openmp,fp64,4.0,50000000,8,0.0155185329999999,0.0184543214999999,0.019117955999999936,0.002753386114421813,0.01754635975,0.0211611632499999,0.015771353049999937,0.022882692849999966
alternating_sign,openmp,fp64,8.0,1000000,8,0.000134337,0.0002099065,0.00023718924999995,0.0001368802964050024,0.000153537749999925,0.0002329812499999,0.00013661235,0.00045507549999989987
alternating_sign,openmp,fp64,8.0,1919384,8,0.0010148119999999,0.010063416499999901,0.010790480499999937,0.00719630084479966,0.0062730344999999,0.01319832875,0.0027799043499999003,0.021510601149999996
alternating_sign,openmp,fp64,8.0,3684032,8,0.0098626619999999,0.014103471499999999,0.015376246624999963,0.0054552827410922124,0.01113014225,0.017832537499999974,0.010085081049999936,0.0238211027499999
alternating_sign,openmp,fp64,8.0,7071068,8,0.0041057649999999,0.0113186585,0.012092665624999988,0.0062835426868308635,0.008134371000000001,0.01607679875,0.004480740649999935,0.020851137349999996
alternating_sign,openmp,fp64,8.0,13572088,8,0.0068058629999999,0.01231269149999995,0.012839459874999962,0.0037596859653539244,0.010739994999999976,0.01580806975,0.007977141499999901,0.0175918027
alternating_sign,openmp,fp64,8.0,26050038,8,0.007220314,0.01640012199999995,0.015046854124999964,0.005483537073603241,0.01175549325,0.017803653749999926,0.0074208164,0.02169982929999993
alternating_sign,openmp,fp64,8.0,50000000,8,0.0116092539999999,0.017219914,0.017314117124999962,0.005163359852183378,0.0125314017499999,0.0206619655,0.0118891412999999,0.02412916585
alternating_sign,openmp,fp64,16.0,1000000,8,8.3427e-05,0.015617022500000001,0.012221723624999988,0.01055806238432728,0.00044276250000000004,0.019195968749999924,8.68416e-05,0.024526323749999995
alternating_sign,openmp,fp64,16.0,1919384,8,0.0063384699999999,0.020247217,0.01943771137499995,0.006555339252025974,0.0178889794999999,0.02190064275,0.0100363361999999,0.02697702064999993
alternating_sign,openmp,fp64,16.0,3684032,8,0.015603942,0.022338856999999948,0.021923314999999964,0.0032002310069697212,0.020572299750000002,0.0239131009999999,0.0172129725,0.025492093499999965
alternating_sign,openmp,fp64,16.0,7071068,8,0.009443862,0.02355737499999995,0.02319493562499999,0.00823880278397474,0.0188349145,0.028586637,0.011710211750000001,0.0332455767
alternating_sign,openmp,fp64,16.0,13572088,8,0.015580808,0.020201729499999953,0.02127467537499996,0.0054809822742732175,0.0169642885,0.0239173507499999,0.01579729875,0.029601612249999965
alternating_sign,openmp,fp64,16.0,26050038,8,0.0123983429999999,0.020669144,0.019597143374999963,0.004955896139301962,0.015509231749999927,0.022396465,0.013113282399999935,0.025821292099999935
alternating_sign,openmp,fp64,16.0,50000000,8,0.0171175159999999,0.0233806835,0.022722003999999976,0.0026715414565877363,0.021820544,0.023941423500000003,0.018744079399999933,0.025523575099999935
alternating_sign,openmp,fp64,22.0,1000000,8,0.0053627229999999,0.021251186,0.01985004524999999,0.009131322317526842,0.015106666000000001,0.024513084,0.006831423099999935,0.031114994150000002
alternating_sign,openmp,fp64,22.0,1919384,8,0.010684111,0.0195268485,0.02061426974999995,0.006423236259475525,0.017269803249999924,0.0258585812499999,0.0121826983,0.028784499199999897
alternating_sign,openmp,fp64,22.0,3684032,8,0.016739046,0.020342133499999998,0.022480347749999977,0.0069547517798758,0.01927954375,0.0224218002499999,0.01695663365,0.03381093029999996
alternating_sign,openmp,fp64,22.0,7071068,8,0.010398208,0.02102705999999995,0.02069016599999999,0.007390151778908769,0.01447861875,0.0274032305,0.011678708900000001,0.0287512082
alternating_sign,openmp,fp64,22.0,13572088,8,0.0140585009999999,0.03239696449999995,0.03042289449999995,0.00971495026906397,0.02469332925,0.0359286812499999,0.016532660099999937,0.04209148734999996
alternating_sign,openmp,fp64,22.0,26050038,8,0.012141288,0.02015242499999995,0.020066513124999977,0.00633789553942126,0.014484107750000001,0.02425822225,0.0126751318,0.028567338449999934
alternating_sign,openmp,fp64,22.0,50000000,8,0.0223824,0.026131602,0.027945599124999977,0.005989306886603772,0.023510160000000002,0.0307547759999999,0.0225605073,0.037160450349999964
alternating_sign,serial,fp64,,1000000,8,0.0007886949999999,0.00082587599999995,0.00083694387499995,5.332195135597629e-05,0.00079472175,0.0008589524999999751,0.000789703699999935,0.0009170707999999
alternating_sign,serial,fp64,,1919384,8,0.001570323,0.001622577,0.0016536036249999875,7.177135991652092e-05,0.0016105605000000002,0.001696695749999925,0.00158398245,0.00176230405
alternating_sign,serial,fp64,,3684032,8,0.003158531,0.0033570384999999,0.0033646116249999376,0.00013420191673839646,0.0033232457499999253,0.003403786999999975,0.0031904359500000003,0.0035541083999999002
alternating_sign,serial,fp64,,7071068,8,0.006096637,0.0063694445,0.0065243844999999506,0.0004834482558551975,0.0061748282499998995,0.0066678727499999,0.006110067549999965,0.007301195299999965
alternating_sign,serial,fp64,,13572088,8,0.011087552,0.012160012500000001,0.012360641249999976,0.0009978072282159176,0.011618710999999926,0.013081858499999925,0.01126404965,0.01370543195
alternating_sign,serial,fp64,,26050038,8,0.02351263,0.02741531999999995,0.02897217649999995,0.0054690802085035455,0.025082454499999976,0.031487685749999904,0.023740149599999965,0.03737840164999996
alternating_sign,serial,fp64,,50000000,8,0.0406033609999999,0.04100185549999995,0.04223382287499994,0.0028597688947484606,0.040829703749999904,0.041924538749999976,0.0406374075999999,0.046966773699999964
alternating_sign,openmp,mixed_fp32_fp64,1.0,1000000,8,0.000970804,0.00116033,0.001219727374999975,0.00025410293527675624,0.000995504999999925,0.00138752775,0.00097671095,0.0015807793499999349
alternating_sign,openmp,mixed_fp32_fp64,1.0,1919384,8,0.002097311,0.0021524089999999003,0.00218943762499995,0.00015053859150958087,0.00211237575,0.002163957249999975,0.0021007312000000003,0.0024230241499999
alternating_sign,openmp,mixed_fp32_fp64,1.0,3684032,8,0.004174284,0.00456449899999995,0.004707774874999963,0.000568499264511976,0.004378679,0.004806142249999975,0.0042175468,0.0056031758499999
alternating_sign,openmp,mixed_fp32_fp64,1.0,7071068,8,0.007005084,0.00783520399999995,0.008548752874999987,0.001785939958754534,0.0074997085000000005,0.00871963075,0.0071676506000000004,0.011548351549999999
alternating_sign,openmp,mixed_fp32_fp64,1.0,13572088,8,0.01298809,0.013249616,0.013605608124999951,0.0009447956435398116,0.013153704249999901,0.013575656999999925,0.012999419499999965,0.015127081949999935
alternating_sign,openmp,mixed_fp32_fp64,1.0,26050038,8,0.02448302,0.02919723299999995,0.029719150749999965,0.0039568051372998545,0.026684343749999975,0.03229183249999992,0.025252089699999966,0.03525967905
alternating_sign,openmp,mixed_fp32_fp64,1.0,50000000,8,0.043775039,0.04653313399999995,0.047587852999999965,0.0036714421691683378,0.045393633499999926,0.04895678024999993,0.043937601050000004,0.05335577735
alternating_sign,openmp,mixed_fp32_fp64,2.0,1000000,8,0.000409877,0.00043589750000000004,0.000446257499999975,3.421882308653149e-05,0.00042394225,0.0004557682499999,0.00041436015,0.000500893499999965
alternating_sign,openmp,mixed_fp32_fp64,2.0,1919384,8,0.001380277,0.0016595389999999,0.0016709471249999625,0.00023047951764676601,0.00148926325,0.00177856825,0.00140956045,0.002008705599999935
alternating_sign,openmp,mixed_fp32_fp64,2.0,3684032,8,0.0023135579999999,0.0026559994999999503,0.00338208149999995,0.0021688194542082606,0.0024031662499999253,0.00293080725,0.002338503549999935,0.006721788199999933
alternating_sign,openmp,mixed_fp32_fp64,2.0,7071068,8,0.003889005,0.0042862909999999005,0.00464949174999995,0.0011436677320919928,0.004039741,0.004638491749999975,0.00393335525,0.0064294164999998986
