input_distribution,n_min,n_max,mixed_rel_error_median,parallel_error_fp64_median,parallel_error_mixed_median
alternating_sign,1000000,50000000,8.470357838337666e-08,4.702425703451313e-14,2.1158844206164507e-16
ill_scaled,1000000,50000000,5.968008818207052e-08,4.849813052881355e-14,4.772410262229334e-14
nearly_canceling,1000000,50000000,0.6099286108396991,5.724193875192688e-11,0.0
normal,1000000,50000000,5.497071374143297e-08,6.580755981068104e-14,3.074621506065508e-16
positive_uniform,1000000,50000000,9.2831037772994e-12,5.36394308679976e-14,5.282575532857345e-15
