n,n_obs,q25,median,q75,q05,q95,min,max
1000000,12,2.391027095906577e-11,4.158063756385631e-11,8.420557137071654e-11,1.0261684182592755e-11,1.2699917465964226e-10,6.513444790895915e-12,1.2940597555120334e-10
1919384,12,4.158845752902953e-11,5.489525228404759e-11,6.665970230058087e-11,3.083150472483939e-12,7.579233208500804e-11,1.6005451002620481e-12,7.939196952549589e-11
3684032,12,1.4066379432958785e-11,2.0738751709027743e-11,3.5343838479528844e-11,5.930694234491172e-12,6.131553527414235e-11,4.004191584478867e-12,6.773064711145424e-11
7071068,12,7.79101279916088e-12,1.479134766608636e-11,3.041171074775276e-11,4.219961753569044e-12,3.5799208304512645e-11,3.694702683086217e-12,3.72433713146727e-11
13572088,12,4.79149375828679e-12,1.17168398884967e-11,2.312812655251496e-11,1.3029586625331615e-12,3.7154790759234196e-11,6.184509910668354e-13,4.6233130342557e-11
26050038,12,3.4969239080765138e-12,7.223361553357412e-12,1.295746871676786e-11,2.4786844956811715e-12,1.7121035088805e-11,1.7616732932186301e-12,1.8322369936673937e-11
50000000,12,3.8896979537459786e-12,7.412449612268086e-12,8.524269185592891e-12,1.7391586402667326e-12,1.2704044967425716e-11,1.1659930197076905e-12,1.4430048846831988e-11
