n,n_obs,q25,median,q75,q05,q95,min,max
1000000,12,3.681946830977011e-10,5.897166858186664e-10,1.3302723223036173e-09,8.642029942538829e-11,1.7630826755873637e-09,3.59356514256005e-11,2.1453073363231793e-09
1919384,12,4.217641063982035e-10,7.62955621785706e-10,9.995431146057258e-10,1.4263060988750828e-10,1.2904501263290543e-09,4.1318400278027857e-11,1.3575730496094223e-09
3684032,12,2.0841887400773065e-10,4.2484411405672043e-10,6.83451295108237e-10,1.186740375509277e-10,1.367152356669654e-09,9.165074877742973e-11,1.504224475890489e-09
7071068,12,2.827862745098463e-10,3.563605938154079e-10,5.860444694600422e-10,1.538075095859454e-10,8.462075267012899e-10,1.2587861839753998e-10,9.050849350065485e-10
13572088,12,1.4248487958767984e-10,2.5984467525281674e-10,3.7665551063292813e-10,7.335624916483121e-11,6.318089151544898e-10,3.6875308950288855e-11,7.494328552662787e-10
26050038,12,8.363320449155465e-11,2.0070002144152613e-10,3.825085639861325e-10,6.447452499576506e-11,4.961217472016162e-10,4.697201809334328e-11,5.494576260665403e-10
50000000,12,7.446169256249875e-11,1.384938909303794e-10,2.2776195263674442e-10,2.0539993037979584e-11,3.52117447320896e-10,1.803116088364582e-11,4.1352478807066887e-10
