n,n_obs,q25,median,q75,q05,q95,min,max
1000000,12,1.2746517201299448e-11,3.0818783179683816e-11,6.907976315493361e-11,7.152697721493796e-12,8.184342732361665e-11,3.772340091713116e-12,8.677393001841954e-11
1919384,12,1.4556118811677817e-11,1.8589701805574144e-11,6.739720183197504e-11,3.5023098965857407e-12,7.739536280222553e-11,2.840257705886274e-13,7.844613296933052e-11
3684032,12,1.469065890595259e-11,2.615038164855967e-11,3.0511362009587506e-11,4.383662563583029e-12,4.707190640974228e-11,2.421062819751808e-12,5.926187264290635e-11
7071068,12,5.143677497262936e-12,1.5836104717026118e-11,1.7497658178651777e-11,3.4627096291400213e-12,2.774921464954322e-11,2.83478141292702e-12,3.066907319380565e-11
13572088,12,8.293359078971227e-12,1.514627132418663e-11,1.8780057227121058e-11,8.641581759404225e-13,2.477894446710589e-11,5.339956482152053e-13,2.603142594926341e-11
26050038,12,3.8761463210520185e-12,6.080190801900168e-12,1.2502127073487311e-11,4.2382293644059846e-13,1.6857759999655738e-11,1.013739670049222e-13,1.9874268126634e-11
50000000,12,2.7577903501382215e-12,7.447562353091432e-12,8.76045192922725e-12,1.736832807138373e-12,9.587647257284246e-12,1.50383794340074e-12,9.849349121058174e-12
