n,n_obs,q25,median,q75,q05,q95,min,max
1000000,12,2.0969418067190088e-11,3.640669243086341e-11,6.757011593343456e-11,5.5225617295318564e-12,1.0786994165415618e-10,4.305984701479324e-12,1.1970945779446416e-10
1919384,12,1.4496550351274009e-11,2.7044341508791586e-11,4.681474909805568e-11,5.530221688610583e-12,6.290282469892277e-11,4.511706663194349e-12,6.381498299537129e-11
3684032,12,1.347044935739263e-11,1.726749449465014e-11,3.118961262408136e-11,9.606614908077875e-12,5.484256152721008e-11,6.856320381524281e-12,6.277697191117957e-11
7071068,12,3.559650796510084e-12,9.2831037772994e-12,1.4517132900246131e-11,1.040798016036316e-12,3.365802436402805e-11,8.995241421776083e-13,4.1925537978728734e-11
13572088,12,1.6085110802166476e-12,4.211071281071268e-12,1.7178615333430648e-11,6.217352965591581e-13,2.208843808115797e-11,4.1752619597334533e-13,2.2214442239457816e-11
26050038,12,2.9503205785972706e-12,5.277805013532114e-12,8.998674248138256e-12,1.7290230285152199e-12,9.70660218356655e-12,1.5973452680899666e-12,1.0008384145290412e-11
50000000,12,1.4168059082314101e-12,4.203852695776544e-12,8.474675409727e-12,5.658827191880028e-13,1.1392309766280935e-11,2.701572045280174e-13,1.1439889498287732e-11
