n,n_obs,q25,median,q75,q05,q95,min,max
1000000,12,2.7386609610407363e-11,4.418963578385042e-11,9.46545797813383e-11,8.98192752457885e-12,1.4866465732944257e-10,7.338140524688265e-12,1.7047952103390587e-10
1919384,12,3.306040703379025e-11,4.9040446467990626e-11,6.384739280765042e-11,1.1958236659345734e-11,9.316384182712627e-11,1.0082026591171444e-11,9.636093694953159e-11
3684032,12,2.1254196142056977e-11,3.0726034588160666e-11,5.093462887825738e-11,1.130386396940619e-11,6.944812588900302e-11,1.4363404676510796e-12,7.331908682617324e-11
7071068,12,1.427460324734356e-11,1.8254302527776047e-11,2.7855987979700053e-11,9.331261724016751e-12,3.421080013099874e-11,9.048786100155635e-12,3.696491689902615e-11
13572088,12,4.563316432269372e-12,1.2446729435260734e-11,1.7707311488371455e-11,9.78698778756022e-13,2.7574143102543944e-11,3.065346664623298e-13,2.8992662414874608e-11
26050038,12,7.454915759090434e-12,1.2733110743809754e-11,1.6409268435958384e-11,1.9706954945204793e-12,2.567107356025162e-11,1.6538579329034337e-12,3.1978933442541285e-11
50000000,12,3.1894661085406038e-12,5.430506986158284e-12,1.2719853164944822e-11,2.034203141327832e-12,1.7546006595191136e-11,1.518208071445998e-12,2.0175819450410324e-11
