experiment,input_distribution,method,precision,threads,n,trial,repeat,seed_x,seed_y,runtime,result
runtime,normal,openmp,fp64,4,1000000,0,3,123,456,0.007665402,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,3,123,456,0.00183007,1792.5140299904101
runtime,normal,openmp,fp64,4,1000000,0,4,123,456,0.0080267910000000001,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,4,123,456,0.0033296509999999999,1792.5140299904101
runtime,normal,openmp,fp64,4,1000000,0,5,123,456,0.0042869249999999996,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,5,123,456,0.0093781769999999997,1792.5140299904101
runtime,normal,openmp,fp64,4,1000000,0,6,123,456,0.0050283940000000003,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,6,123,456,0.0023467230000000002,1792.5140299904101
runtime,normal,openmp,fp64,4,1000000,0,7,123,456,0.0076291809999999996,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,7,123,456,0.001746767,1792.5140299904101
runtime,normal,openmp,fp64,8,1000000,0,0,123,456,0.023187814000000001,1792.5139923576985
runtime,normal,openmp,mixed_fp32_fp64,8,1000000,0,0,123,456,0.02879721,1792.5140299904101
runtime,normal,openmp,fp64,8,1000000,0,1,123,456,0.015762562000000001,1792.5139923576983
runtime,normal,openmp,mixed_fp32_fp64,8,1000000,0,1,123,456,0.019416044,1792.5140299904103
runtime,normal,openmp,fp64,8,1000000,0,2,123,456,0.017767162999999999,1792.5139923576985
runtime,normal,openmp,mixed_fp32_fp64,8,1000000,0,2,123,456,0.015716664000000002,1792.5140299904103
runtime,normal,openmp,fp64,8,1000000,0,3,123,456,0.015845712000000001,1792.5139923576983
runtime,normal,openmp,mixed_fp32_fp64,8,1000000,0,3,123,456,0.018819540999999999,1792.5140299904103
runtime,normal,openmp,fp64,8,1000000,0,4,123,456,0.017591099999999998,1792.5139923576983
runtime,normal,openmp,mixed_fp32_fp64,8,1000000,0,4,123,456,0.014417852,1792.5140299904103
runtime,normal,openmp,fp64,8,1000000,0,5,123,456,0.014042377,1792.513992357698
runtime,normal,openmp,mixed_fp32_fp64,8,1000000,0,5,123,456,0.0053672290000000003,1792.5140299904101
runtime,normal,openmp,fp64,8,1000000,0,6,123,456,0.0031551589999999998,1792.513992357698
runtime,normal,openmp,mixed_fp32_fp64,8,1000000,0,6,123,456,0.0068189490000000004,1792.5140299904101
runtime,normal,openmp,fp64,8,1000000,0,7,123,456,0.0067030600000000003,1792.5139923576985
runtime,normal,openmp,mixed_fp32_fp64,8,1000000,0,7,123,456,0.0089189000000000004,1792.5140299904101
runtime,normal,openmp,fp64,16,1000000,0,0,123,456,0.029768719999999999,1792.5139923576894
runtime,normal,openmp,mixed_fp32_fp64,16,1000000,0,0,123,456,0.030933523000000001,1792.5140299904099
runtime,normal,openmp,fp64,16,1000000,0,1,123,456,0.017406312,1792.5139923576896
runtime,normal,openmp,mixed_fp32_fp64,16,1000000,0,1,123,456,0.031381039999999999,1792.5140299904101
runtime,normal,openmp,fp64,16,1000000,0,2,123,456,0.015867837999999999,1792.5139923576899
runtime,normal,openmp,mixed_fp32_fp64,16,1000000,0,2,123,456,0.024465164000000001,1792.5140299904101
runtime,normal,openmp,fp64,16,1000000,0,3,123,456,0.029194583999999999,1792.5139923576899
runtime,normal,openmp,mixed_fp32_fp64,16,1000000,0,3,123,456,0.017519294000000001,1792.5140299904101
runtime,normal,openmp,fp64,16,1000000,0,4,123,456,0.019755214,1792.5139923576896
runtime,normal,openmp,mixed_fp32_fp64,16,1000000,0,4,123,456,0.025362119999999998,1792.5140299904101
runtime,normal,openmp,fp64,16,1000000,0,5,123,456,0.020931861999999999,1792.5139923576899
runtime,normal,openmp,mixed_fp32_fp64,16,1000000,0,5,123,456,0.024755673999999998,1792.5140299904103
runtime,normal,openmp,fp64,16,1000000,0,6,123,456,0.019551837999999998,1792.5139923576896
runtime,normal,openmp,mixed_fp32_fp64,16,1000000,0,6,123,456,0.022607414999999999,1792.5140299904101
runtime,normal,openmp,fp64,16,1000000,0,7,123,456,0.021428604,1792.5139923576899
runtime,normal,openmp,mixed_fp32_fp64,16,1000000,0,7,123,456,0.019090488999999999,1792.5140299904101
runtime,normal,openmp,fp64,22,1000000,0,0,123,456,0.030946665000000002,1792.5139923576805
runtime,normal,openmp,mixed_fp32_fp64,22,1000000,0,0,123,456,0.031248435000000001,1792.5140299904101
runtime,normal,openmp,fp64,22,1000000,0,1,123,456,0.021545664999999999,1792.5139923576803
runtime,normal,openmp,mixed_fp32_fp64,22,1000000,0,1,123,456,0.020147056999999999,1792.5140299904101
runtime,normal,openmp,fp64,22,1000000,0,2,123,456,0.019794756,1792.5139923576808
runtime,normal,openmp,mixed_fp32_fp64,22,1000000,0,2,123,456,0.033050299999999998,1792.5140299904101
runtime,normal,openmp,fp64,22,1000000,0,3,123,456,0.014965442000000001,1792.5139923576805
runtime,normal,openmp,mixed_fp32_fp64,22,1000000,0,3,123,456,0.021545120000000001,1792.5140299904101
runtime,normal,openmp,fp64,22,1000000,0,4,123,456,0.024178595000000001,1792.5139923576803
runtime,normal,openmp,mixed_fp32_fp64,22,1000000,0,4,123,456,0.016627119999999999,1792.5140299904103
runtime,normal,openmp,fp64,22,1000000,0,5,123,456,0.026617333,1792.5139923576805
runtime,normal,openmp,mixed_fp32_fp64,22,1000000,0,5,123,456,0.012911188000000001,1792.5140299904106
runtime,normal,openmp,fp64,22,1000000,0,6,123,456,0.028545609999999999,1792.5139923576805
runtime,normal,openmp,mixed_fp32_fp64,22,1000000,0,6,123,456,0.010077134999999999,1792.5140299904101
runtime,normal,openmp,fp64,22,1000000,0,7,123,456,0.0098469200000000003,1792.5139923576808
runtime,normal,openmp,mixed_fp32_fp64,22,1000000,0,7,123,456,0.013160346999999999,1792.5140299904099
runtime,normal,serial,fp64,,1919384,0,0,123,456,0.0020489029999999999,2792.7674191566271
runtime,normal,serial,mixed_fp32_fp64,,1919384,0,0,123,456,0.0020362140000000002,2792.7675344692061
runtime,normal,serial,fp64,,1919384,0,1,123,456,0.001792098,2792.7674191566271
runtime,normal,serial,mixed_fp32_fp64,,1919384,0,1,123,456,0.002152518,2792.7675344692061
runtime,normal,serial,fp64,,1919384,0,2,123,456,0.001664359,2792.7674191566271
runtime,normal,serial,mixed_fp32_fp64,,1919384,0,2,123,456,0.0034825530000000002,2792.7675344692061
runtime,normal,serial,fp64,,1919384,0,3,123,456,0.001980444,2792.7674191566271
runtime,normal,serial,mixed_fp32_fp64,,1919384,0,3,123,456,0.0042194299999999997,2792.7675344692061
runtime,normal,serial,fp64,,1919384,0,4,123,456,0.0025946020000000001,2792.7674191566271
runtime,normal,serial,mixed_fp32_fp64,,1919384,0,4,123,456,0.0022770360000000001,2792.7675344692061
